acc,start,end,label
DP03758,1,351,structured
DP03758,352,548,disordered
DP03758,549,819,structured
DP03806,1,292,structured
DP03806,293,365,disordered
DP03818,1,13,disordered
DP03914,1,30,structured
DP03914,31,88,disordered
DP03914,89,707,structured
DP03927,1,1072,structured
DP03927,1073,1082,disordered
DP03927,1083,1084,structured
DP03930,1,764,structured
DP03930,765,852,disordered
DP03980,1,346,structured
DP03980,347,472,disordered
DP03980,473,912,structured
DP03982,1,210,disordered
DP03984,1,58,structured
DP03984,59,141,disordered
DP03984,142,143,structured
DP03988,1,136,disordered
DP03990,1,311,structured
DP03990,312,394,disordered
DP04002,1,262,structured
DP04002,263,291,disordered
DP04002,292,499,structured
DP04014,1,82,disordered
DP04017,1,554,disordered
DP04020,1,222,disordered
DP04024,1,113,structured
DP04024,114,134,disordered
DP04028,1,225,structured
DP04028,226,232,disordered
DP04028,233,256,structured
DP04033,1,52,disordered
DP04033,53,190,structured
DP04092,1,204,structured
DP04092,205,222,disordered
DP04092,223,461,structured
DP04134,1,75,structured
DP04134,76,113,disordered
DP04134,114,140,structured
DP04141,1,124,disordered
DP04141,125,287,structured
DP04142,1,569,structured
DP04142,570,632,disordered
DP04144,1,79,structured
DP04144,80,142,disordered
DP04144,143,421,structured
DP04145,1,80,structured
DP04145,81,142,disordered
DP04145,143,422,structured
DP04155,1,613,structured
DP04155,614,630,disordered
DP04155,631,646,structured
DP04155,647,663,disordered
DP04155,664,1068,structured
DP04156,1,218,structured
DP04156,219,232,disordered
DP04156,233,665,structured
DP04159,1,94,structured
DP04159,95,99,disordered
DP04159,100,105,structured
DP04160,1,306,structured
DP04160,307,315,disordered
DP04161,1,453,structured
DP04161,454,515,disordered
DP04161,516,550,structured
DP04167,1,269,structured
DP04167,270,355,disordered
DP04169,1,33,disordered
DP04169,34,593,structured
DP04172,1,193,structured
DP04172,194,362,disordered
DP04177,1,10,structured
DP04177,11,64,disordered
DP04177,65,100,structured
DP04189,1,130,structured
DP04189,131,141,disordered
DP04189,142,262,structured
DP04189,263,273,disordered
DP04189,274,298,structured
DP04190,1,53,disordered
DP04190,54,88,structured
DP04191,1,1024,structured
DP04191,1025,1090,disordered
DP04191,1091,1162,structured
DP04192,1,49,structured
DP04192,50,65,disordered
DP04192,66,72,structured
DP04197,1,8,structured
DP04197,9,30,disordered
DP04197,31,1447,structured
DP04198,1,2949,structured
DP04198,2950,2989,disordered
DP04198,2990,3010,structured
DP04199,1,178,disordered
DP04200,1,150,disordered
DP04211,1,51,structured
DP04211,52,63,disordered
DP04211,64,441,structured
DP04212,1,101,structured
DP04212,102,191,disordered
DP04218,1,40,structured
DP04218,41,86,disordered
DP04218,87,561,structured
DP04219,1,27,disordered
DP04219,28,338,structured
DP04235,1,127,structured
DP04235,128,186,disordered
DP04235,187,229,structured
DP04236,1,64,structured
DP04236,65,75,disordered
DP04236,76,330,structured
DP04239,1,301,structured
DP04239,302,320,disordered
DP04239,321,1430,structured
DP04241,1,159,disordered
DP04241,160,184,structured
DP04241,185,198,disordered
DP04241,199,287,structured
DP04241,288,294,disordered
DP04241,295,467,structured
DP04243,1,60,disordered
DP04244,1,109,disordered
