acc,start,end,label
DP03745,1,24,structured
DP03745,25,34,disordered
DP03745,35,120,structured
DP03745,121,145,disordered
DP03758,1,351,structured
DP03758,352,548,disordered
DP03758,549,819,structured
DP03802,1,737,structured
DP03802,738,1171,disordered
DP03802,1172,2905,structured
DP03803,1,338,structured
DP03803,339,354,disordered
DP03803,355,1043,structured
DP03804,1,70,structured
DP03804,71,338,disordered
DP03804,339,680,structured
DP03806,1,292,structured
DP03806,293,365,disordered
DP03818,1,13,disordered
DP03819,1,13,disordered
DP03824,1,205,disordered
DP03824,206,855,structured
DP03824,856,925,disordered
DP03824,926,1136,structured
DP03826,1,84,disordered
DP03826,85,951,structured
DP03826,952,1074,disordered
DP03826,1075,1138,structured
DP03888,1,14,disordered
DP03888,15,95,structured
DP03914,1,30,structured
DP03914,31,161,disordered
DP03914,162,707,structured
DP03916,1,35,disordered
DP03916,36,68,structured
DP03920,1,38,structured
DP03920,39,52,disordered
DP03920,53,119,structured
DP03921,1,91,structured
DP03921,92,112,disordered
DP03921,113,270,structured
DP03923,1,30,structured
DP03923,31,48,disordered
DP03923,49,150,structured
DP03927,1,981,structured
DP03927,982,1027,disordered
DP03927,1028,1069,structured
DP03927,1070,1084,disordered
DP03929,1,194,structured
DP03929,195,486,disordered
DP03930,1,727,structured
DP03930,728,852,disordered
DP03931,1,717,structured
DP03931,718,771,disordered
DP03931,772,854,structured
DP03933,1,97,structured
DP03933,98,141,disordered
DP03933,142,222,structured
DP03933,223,413,disordered
DP03934,1,97,structured
DP03934,98,153,disordered
DP03934,154,234,structured
DP03934,235,440,disordered
DP03935,1,251,structured
DP03935,252,356,disordered
DP03937,1,269,structured
DP03937,270,333,disordered
DP03938,1,41,disordered
DP03938,42,191,structured
DP03938,192,207,disordered
DP03938,208,473,structured
DP03939,1,417,structured
DP03939,418,450,disordered
DP03939,451,542,structured
DP03941,1,1,structured
DP03941,2,122,disordered
DP03941,123,268,structured
DP03941,269,404,disordered
DP03942,1,22,disordered
DP03942,23,683,structured
DP03943,1,79,structured
DP03943,80,89,disordered
DP03943,90,754,structured
DP03947,1,403,structured
DP03947,404,421,disordered
DP03948,1,28,disordered
DP03948,29,193,structured
DP03948,194,214,disordered
DP03948,215,230,structured
DP03979,1,584,structured
DP03979,585,815,disordered
DP03980,1,346,structured
DP03980,347,472,disordered
DP03980,473,912,structured
DP03982,1,210,disordered
DP03984,1,20,structured
DP03984,21,143,disordered
DP03988,1,136,disordered
DP03989,1,21,structured
DP03989,22,85,disordered
DP03989,86,177,structured
DP03990,1,311,structured
DP03990,312,394,disordered
DP03994,1,337,structured
DP03994,338,390,disordered
DP04002,1,200,structured
DP04002,201,300,disordered
DP04002,301,499,structured
DP04005,1,1848,structured
DP04005,1849,1870,disordered
DP04005,1871,3088,structured
DP04006,1,103,structured
DP04006,104,245,disordered
DP04006,246,298,structured
DP04007,1,225,structured
DP04007,226,702,disordered
DP04007,703,733,structured
DP04008,1,41,structured
DP04008,42,162,disordered
DP04008,163,226,structured
DP04009,1,92,disordered
DP04010,1,83,disordered
DP04011,1,71,disordered
DP04012,1,92,disordered
DP04014,1,82,disordered
