Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.5306810757108763,0.37194037522228757,0.9029576552170546,0.1282080645366518,0.9029576552170546,0
1,0.4333023526504928,0.32843081806998714,0.9079609417314416,0.12268580371798299,0.9079609417314416,0
2,0.4200432748771181,0.31945323456626334,0.91023191074187,0.11675637159471186,0.91023191074187,0
3,0.41229316107198305,0.31637296193857234,0.9105403068304634,0.1155730299907114,0.9105403068304634,0
4,0.4072568292419116,0.31539757212916697,0.9122522037257141,0.1139443447723022,0.9122522037257141,0
5,0.4034325107055552,0.3124254741542897,0.9123427074745999,0.11444058479978625,0.9123427074745999,0
6,0.3972810579573407,0.3164518827804537,0.912498138184894,0.11413520632133456,0.912498138184894,0
7,0.3923261611485014,0.30936933087574847,0.9134642558366322,0.11351172526116227,0.9134642558366322,0
8,0.3864712051316804,0.3110177970854626,0.9141907751407775,0.11339720833174283,0.9141907751407775,0
9,0.37875214049629136,0.306712556428637,0.9131805622095144,0.1139825170821086,0.9141907751407775,1
10,0.3835983701488551,0.30794675926433673,0.9127705017421505,0.11508951406649615,0.9141907751407775,2
11,0.37223118108277226,0.30801345523733475,0.9135230294929235,0.1142878955605604,0.9141907751407775,3
12,0.3713694207516371,0.30669607303817437,0.9160525737351315,0.11358806988077519,0.9160525737351315,0
13,0.36591654241669413,0.30731524878082167,0.9145802284047418,0.11417337863114096,0.9160525737351315,1
14,0.36256808463264917,0.30620337396644737,0.9141961005094917,0.11405886170172153,0.9160525737351315,2
15,0.36114600613421083,0.3102986932954378,0.9144256354591552,0.11292641651079638,0.9160525737351315,3
16,0.3601154723588158,0.30621023055720403,0.9153300773527379,0.1139443447723022,0.9160525737351315,4
17,0.35392951018670027,0.31167601069328543,0.9164094544242074,0.11475868738150674,0.9164094544242074,0
18,0.35158422191937766,0.3053918186541425,0.9152283862409777,0.11423699914748509,0.9164094544242074,1
19,0.3499235834853322,0.303709050177931,0.9172424233122021,0.11374075912000103,0.9172424233122021,0
20,0.3456899882531634,0.3075186978396694,0.9161282257359528,0.1143006196638292,0.9172424233122021,1
21,0.34574919868918025,0.30103790725276847,0.9169940298111421,0.11320634678271047,0.9172424233122021,2
22,0.3420358228917215,0.3045140376492936,0.9162716828189825,0.11483503200111977,0.9172424233122021,3
23,0.3359729106811916,0.30389553713257705,0.9157238342348413,0.1159293048822384,0.9172424233122021,4
24,0.3355952063904089,0.3030270143755801,0.914581843391799,0.1149241007240015,0.9172424233122021,5
25,0.33422298232714337,0.30226020629427486,0.9164628594672434,0.11417337863114096,0.9172424233122021,6
26,0.3342304507306978,0.3020168543525544,0.9164221510215786,0.11522947920245319,0.9172424233122021,7
27,0.32922955389116326,0.3031440819287047,0.9172242539215436,0.11587840846916309,0.9172424233122021,8
28,0.3247289859342809,0.3021174862612826,0.9182517536616872,0.11538216844167903,0.9182517536616872,0
29,0.3241412890015864,0.30290852972865256,0.9171483393084159,0.1155730299907114,0.9182517536616872,1
30,0.3200486125314937,0.30143696318389257,0.9164414844766666,0.11514041047957146,0.9182517536616872,2
31,0.31844275707707687,0.3027123028023968,0.9157878231828324,0.11455510172920569,0.9182517536616872,3
32,0.31854202767797546,0.3034198743222753,0.9147605990283574,0.11648916542606658,0.9182517536616872,4
33,0.31235979216940263,0.30264491964885637,0.9170016616864445,0.11536944433841023,0.9182517536616872,5
34,0.3122647715549843,0.29829246376421914,0.9178761150630568,0.11431334376709801,0.9182517536616872,6
35,0.3125369221264241,0.2993365250916921,0.9186395038769825,0.11473323917496914,0.9186395038769825,0
36,0.30862159818118695,0.30221944905035214,0.9185725070745673,0.11520403099591559,0.9186395038769825,1
37,0.3046047313978859,0.2986235855825447,0.9181146900875455,0.11446603300632385,0.9186395038769825,2
38,0.3057645781367433,0.2991342688218855,0.9197080937941522,0.1139316206690334,0.9197080937941522,0
39,0.3014120735081972,0.301341180704327,0.9161216682909394,0.11633647618684073,0.9197080937941522,1
40,0.2985024339282045,0.29724488979301616,0.9184412178261063,0.11419882683767857,0.9197080937941522,2
41,0.3017429175037964,0.29842405239530995,0.9188627011425298,0.11435151607690452,0.9197080937941522,3
42,0.2981563630057316,0.29891769404831464,0.9185602138308281,0.11365169039711931,0.9197080937941522,4
43,0.2964699327945709,0.29954725201556887,0.9193457509263582,0.11500044534361442,0.9197080937941522,5
44,0.2925383504699258,0.30039931543698783,0.9184197701060733,0.11391889656576448,0.9197080937941522,6
45,0.29396605687398536,0.30368017108229967,0.9168982050179963,0.11478413558804446,0.9197080937941522,7
46,0.288178055952577,0.30035330803233656,0.9177686594539206,0.1142878955605604,0.9197080937941522,8
47,0.2885008257978103,0.299235798671948,0.9179034798157574,0.11478413558804446,0.9197080937941522,9
48,0.2865614019918675,0.2993513783299215,0.9178939101918655,0.11442786069651745,0.9197080937941522,10
